name,description,category,IPN,revision,keywords,units,link,active,virtual,assembly,component,purchaseable,salable,trackable,notes,variant_of,is_template,responsible,default_location,default_supplier,default_expiry,minimum_stock,bom,parameters,attachments,owner,image,supplier_pk,supplier_part_number,supplier_link,supplier_pack_quantity
ESP32 S3-WROOM-1-N16R16V,ESP32-S3-WROOM-1/1U Module AIoT,178,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/1005005070548265.html,1
S size tool bag for digital multimeter,ELECALL tool bag for digital multimeter tool kit  black multi-purpose tool bag nylon pouch,171,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/1005001804435376.html,1
Type A 10V10UF 106A 3216 SMD Tantalum Capacitor ,Type A 10V10UF 106A 3216 SMD Tantalum Capacitor 106A Tantalum Electrolytic Capacitor,82,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/1005003540791871.html,20
ESP-WROOM-32 Development Board Test Programmer,ESP-WROOM-32 Development Board Test Programmer Socket Downloader Burning Fixture Tool,179,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/1005002511231732.html,1
Heat Shrink Tube Black 2mm,Heat Shrink Tube Transparent + Black Insulation Sleeves Wire Wrap Cable Kit 6 Size 2mm/3MM/4MM/5MM/6MM/8MM,180,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/32842539016.html,1
 Heat Shrink Tube Black 3mm,Heat Shrink Tube Transparent + Black Insulation Sleeves Wire Wrap Cable Kit 6 Size 2mm/3MM/4MM/5MM/6MM/8MM,180,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/32842539016.html,1
 Heat Shrink Tube Black 4mm,Heat Shrink Tube Transparent + Black Insulation Sleeves Wire Wrap Cable Kit 6 Size 2mm/3MM/4MM/5MM/6MM/8MM,180,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/32842539016.html,1
 Heat Shrink Tube Black 5mm,Heat Shrink Tube Transparent + Black Insulation Sleeves Wire Wrap Cable Kit 6 Size 2mm/3MM/4MM/5MM/6MM/8MM,180,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/32842539016.html,1
 Heat Shrink Tube Black 6mm,Heat Shrink Tube Transparent + Black Insulation Sleeves Wire Wrap Cable Kit 6 Size 2mm/3MM/4MM/5MM/6MM/8MM,180,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/32842539016.html,1
 Heat Shrink Tube Black 8mm,Heat Shrink Tube Transparent + Black Insulation Sleeves Wire Wrap Cable Kit 6 Size 2mm/3MM/4MM/5MM/6MM/8MM,180,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/32842539016.html,1
ESP32 Seeed Studio XIAO ESP32C6,ESP32 Seeed Studio XIAO ESP32C6,106,,,,,,1,,,1,1,,,,,,,,,,,,,,,,24,1,https://www.aliexpress.com/item/1005006935181127.html,2
