Item,PK,Parent,Level,Name,Description
0,86,None,0,Auto_Moto,Auto_Moto
1,166,86,1,Alfa Romeo,
2,87,86,1,Fresia,Fresia Parts
3,92,87,2,Accensione,Accensione motore
4,90,87,2,Alimentazione,Alimentazione carburante
5,91,87,2,Aspirazione,Aspirazione aria
6,94,87,2,Avviamento,Avviamento
7,99,87,2,Comandi,Comandi
8,97,87,2,Connessione meccanica,Connessione meccanica
9,89,87,2,Filtri olio,Filtri olio
10,93,87,2,Impianto elettrico,Impianto elettrico
11,88,87,2,Oli,Oli per Fresia
12,98,87,2,Pneumatici,Pneumatici
13,96,87,2,Sospensioni,Sospensioni
14,95,87,2,Trasmissione,Trasmissione
15,121,86,1,Mercedes,
16,1,None,0,Devices,main devices category
17,28,1,1,Coocking,Coocking tools
18,163,28,2,accessories,coocking devices accessories
19,100,1,1,Electronic modules,Generic Electronic assembly
20,106,100,2,ESPx modules,Moduli basati su ESPxx
21,29,1,1,Gaming,Gaming device
22,23,1,1,Healthy,Healthy devices
23,103,1,1,Home automation,Home automation devices
24,105,103,2,camera,camera
25,167,105,3,accessories,camera accessories
26,144,103,2,energy meter,energy meter devices
27,172,144,3,accessories,energy meter accessories
28,107,103,2,zigbee,zigbee_devices
29,124,107,3,gateway,zigbee radio gateway
30,109,107,3,sensor,zigbee sensors
31,111,109,4,light,light sensor
32,108,109,4,motion,motion sensor
33,145,109,4,plant,plant sensor- moisture meter
34,123,109,4,temperature,zigbee temperature sensors
35,110,109,4,water,water_sensor
36,3,1,1,IT,IT devices and components
37,25,3,2,Desktop computer,Desktop PC
38,27,25,3,PC components,Components for PC build
39,134,27,4,RAM,PC RAMs
40,135,27,4,SSD,SSD Storage
41,113,3,2,HID,Human Interface Devices (mouse, keyboard, etc)
42,26,3,2,Laptop computer,Laptop Computer
43,39,3,2,Mobile,Mobile devices (Smart phone, tablets, etc.)
44,120,39,3,Accessories,Mobile device accessories
45,71,3,2,Monitor,Monitor
46,35,3,2,Network,Network devices
47,165,35,3,Accessories,Network devices accessories
48,101,35,3,Active devices,Active network devices
49,102,35,3,Passive devices,passive network devices
50,42,3,2,Printers,Printers devices
51,130,3,2,Racks,IT 19'' Racks inventory
52,131,130,3,accessories,RAcks accessories
53,132,130,3,cabinets,Rack cabinet
54,18,3,2,SBC computer,Single board pc
55,44,18,3,SBC Components,Small board computers accessories/components (case, shields, etc.)
56,19,3,2,Storage device,HDD, SSD, etc.
57,164,19,3,Accessories,Accessories for drives (heatshields, etc.)
58,22,19,3,Enclosure,HDD, SSD drive enclosure (no disk)
59,21,19,3,External drive,Drive with enclosure for external connection, usb key, etc.
60,20,19,3,Internal drive,Internal HDD, SSD, etc. (no enclosure)
61,133,3,2,UPS,UPS Devices
62,85,1,1,Lights,Lights and Lamps devices
63,30,1,1,Make,Making devices
64,32,30,2,3D Print,3D print devices
65,168,32,3,accessories,3d printers accessories
66,31,30,2,Cutting,Cutting
67,33,30,2,Laser,Laser devices
68,34,30,2,Mill,Mill devices
69,117,34,3,CNC_6090_frame,CNC_6090 frame components
70,119,34,3,CNC_6090_motion,CNC_6090_motion, motors and electronics
71,36,1,1,Multimedia,Multimedia devices
72,151,36,2,Audio Systems,Home audio components
73,122,36,2,Headset,
74,38,36,2,Monitor,Monitor
75,170,38,3,accessories,monitor accessories
76,112,36,2,Multimedia Player,Players multimediali
77,37,36,2,TV,TV
78,173,37,3,accessories,TV accessories
79,49,1,1,Retrocomputer,Retrocomputer and  Arcade
80,51,49,2,Arcade,Arcade videogames
81,50,49,2,Commodore,Commodore Computer and accessories
82,58,50,3,Commodore 128,Commodore 128 models
83,55,50,3,Commodore 64,Commodore 64 models
84,57,50,3,Commodore 64 SX Executive,Commodore 64 SX Executive devices
85,62,50,3,Commodore accessories,Commodore accessories
86,64,62,4,Datasette,Commodore datasette models
87,63,62,4,PSU C64 & VIC-20,Commodore 64 and VIC-20 PSU
88,61,50,3,Commodore AMIGA 1200,Commodore AMIGA 1200 models
89,59,50,3,Commodore AMIGA 500,Commodore AMIGA 500 model
90,60,50,3,Commodore AMIGA 600,Commodore AMIGA 600 models
91,56,50,3,Commodore VIC-20,Commodore VIC-20 models
92,54,49,2,Emulation,Emulation devices and accessories
93,65,54,3,Emulation Components,Emulation HW components
94,53,49,2,Intellivision,Intellivision Mattel consoles
95,52,49,2,Nintendo,Nintendo ecosystem
96,24,1,1,Simulation,Simulation devices
97,153,1,1,Solar system,Solar System devices
98,154,153,2,Solar panel,Solar panel
99,146,1,1,Spa,Spa / Hot-tub / minipiscina idromassaggio
100,149,146,2,accessories,accessori SPA
101,6,1,1,Tools,main tools
102,116,6,2,Accessories,Hand or Power tools accessories
103,7,6,2,Hand tools,IC hand tool
104,148,6,2,Meters instruments,Meters instruments - Strumenti di misura o monitoraggio
105,171,148,3,accessories,meter tools accessories
106,5,6,2,Power tools,IC power tools
107,159,5,3,air,air powered tools
108,162,159,4,accessories,air powered tools accessories
109,156,5,3,battery,battery powered tools
110,160,156,4,accessories,battery powered tools accessories
111,158,5,3,electric,electric powered tools
112,161,158,4,accessories,electric powered tools accessories
113,157,5,3,engine,engine powered tools
114,155,157,4,accessories,power tools accessories
115,4,None,0,Electronic components,ex BOM
116,125,4,1,Batteries and Accumulators,
117,127,125,2,Accumulators,
118,126,125,2,Batteries,
119,129,126,3,Ax batteries,Axx batteries
120,128,126,3,Button,Button Batteries
121,175,4,1,Circuit Protection & Accessories,Circuit Protection & Accessories (fuses, fuses mount, etc.)
122,78,4,1,Discrete semiconductors,Discrete semiconductors (MOSFET, transistor, photoresistor, resonator, thermistor, etc.)
123,79,4,1,Electromechanical,Electromechanical (relais, microswitches, etc.)
124,74,4,1,Enclosure,Box, Enclosures for electronic projects
125,169,4,1,EPROM - NAND - Memory,EPROM - NAND - Memory
126,73,4,1,IC,Integrated circuits
127,178,4,1,microcontroller,microcontroller (ARM, ESPxx, ATMEL, etc.)
128,80,4,1,Optoelectronics,Optoelectronics components (LED, IR receivers, etc.)
129,75,4,1,Passive,Passive components (resistors, capacitors, diode, etc.)
130,82,75,2,Capacitors,Capacitors
131,84,75,2,Diode,Diode
132,83,75,2,Inductors,Inductors
133,81,75,2,Resistors,Resistors
134,76,4,1,PCB,Printed circuit boards
135,77,4,1,PCBA,PCB assemblies
136,174,4,1,Transformer,Transformer
137,2,None,0,Make,Ex IC Inventory
138,66,2,1,Cable,Cable / Wires
139,67,66,2,complete cable,completed cable (2 heads connector)
140,136,67,3,Fiber Cable,Fiber Cable
141,137,67,3,Storage SATA,Storage HDD/SDD cable (SATA, etc.)
142,70,67,3,USB,USB cables
143,69,67,3,Video signals,Video cable
144,68,66,2,only cable/wires,cable/wire only (no heads)
145,114,66,2,semi-complete cable,semi-complete cable (1head connector)
146,14,2,1,Connectors,inventario connettori
147,142,14,2,Electrical,Electrical connectors
148,143,14,2,Electronic,Electronic connectors
149,141,14,2,Network,Network connectors (RJ45,RJ11,RJ12)
150,16,2,1,Display,inventario display
151,8,2,1,Fans,ventole pc
152,9,2,1,Hardware - Ferramenta,Ferramenta (visit, ranelle, dadi, etc.)
