name,description,category,IPN,revision,keywords,units,link,active,virtual,assembly,component,purchaseable,salable,trackable,notes,variant_of,is_template,responsible,default_location,default_supplier,default_expiry,minimum_stock,bom,parameters,attachments,owner,image_path
R_3K ohm 1%_805,R_3K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_3.3K ohm 1%_805,R_3.3K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_3.6K ohm 1%_805,R_3.6K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_3.9K ohm 1%_805,R_3.9K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_4.3K ohm 1%_805,R_4.3K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_4.7K ohm 1%_805,R_4.7K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_5.1K ohm 1%_805,R_5.1K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_5.6K ohm 1%_805,R_5.6K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_6.2K ohm 1%_805,R_6.2K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_6.8K ohm 1%_805,R_6.8K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_7.5K ohm 1%_805,R_7.5K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_8.2K ohm 1%_805,R_8.2K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_9.1K ohm 1%_805,R_9.1K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_10K ohm 1%_805,R_10K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_12K ohm 1%_805,R_12K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_15K ohm 1%_805,R_15K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_18K ohm 1%_805,R_18K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_22K ohm 1%_805,R_22K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_27K ohm 1%_805,R_27K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_30K ohm 1%_805,R_30K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_33K ohm 1%_805,R_33K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_39K ohm 1%_805,R_39K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_47K ohm 1%_805,R_47K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_51K ohm 1%_805,R_51K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_56K ohm 1%_805,R_56K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_68K ohm 1%_805,R_68K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_75K ohm 1%_805,R_75K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_82K ohm 1%_805,R_82K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_91K ohm 1%_805,R_91K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_100K ohm 1%_805,R_100K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_120K ohm 1%_805,R_120K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_150K ohm 1%_805,R_150K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_200K ohm 1%_805,R_200K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_220K ohm 1%_805,R_220K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_270K ohm 1%_805,R_270K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_300K ohm 1%_805,R_300K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_330K ohm 1%_805,R_330K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_390K ohm 1%_805,R_390K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_470K ohm 1%_805,R_470K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_510K ohm 1%_805,R_510K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_560K ohm 1%_805,R_560K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_680K ohm 1%_805,R_680K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_750K ohm 1%_805,R_750K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_820K ohm 1%_805,R_820K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_910K ohm 1%_805,R_910K ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_1M ohm 1%_805,R_1M ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_1.5M ohm 1%_805,R_1.5M ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_2M ohm 1%_805,R_2M ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_2.2M ohm 1%_805,R_2.2M ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_4.7M ohm 1%_805,R_4.7M ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_1R ohm 1%_805,R_1R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_1.2R ohm 1%_805,R_1.2R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_1.5R ohm 1%_805,R_1.5R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_2R ohm 1%_805,R_2R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_2.2R ohm 1%_805,R_2.2R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_3R ohm 1%_805,R_3R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_3.3R ohm 1%_805,R_3.3R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_4.7R ohm 1%_805,R_4.7R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_5.1R ohm 1%_805,R_5.1R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_10R ohm 1%_805,R_10R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_12R ohm 1%_805,R_12R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_15R ohm 1%_805,R_15R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_18R ohm 1%_805,R_18R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_20R ohm 1%_805,R_20R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_22R ohm 1%_805,R_22R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
R_27R ohm 1%_805,R_27R ohm 1%_805 SMD resistor,4,,,,,,TRUE,,,TRUE,TRUE,,,,,,,,,,,,,,,r805.jpg
