Item,PK,Category,Name,Description
0,164,01 - Commodore 1530 (C2N) Datasette,
1,162,01 - Commodore 64,
2,147,01 - Commodore SX-64 Executive,Commodore SX-64 Executive
3,165,01 - PSU,PSU
4,163,02 - PSU,PSU
5,676,0805 Blue LED,0805 SMD LED Ultra Bright Blue
6,494,10Pcs 20CM Test Hook Clip Logic Analyzer Cable Gripper Probe Wire Clamp Kit,
7,493,10Pcs SDK08 Test Clip SMD IC Test Hook Clips for Electrical Testing Ultra Small Clip Test Chip,
8,357,12W to 16W Ballast for Water UV Disinfection EB-G16,Coronwater Water Filter Ultravoilet Adaptor 12W to 16W Ballast for Water UV Disinfection EB-G16
9,442,1300-1600 MOUNTING KIT FOR FRONT BRAKE PADS,Accessori impianto frenante anteriore
10,674,1808 Fuse 10A,1808 SMD Fast Acting Fuse SMD Fuse 10A 125V MRL 04510
11,675,1808 Fuse 3A,1808 SMD Fast Acting Fuse SMD Fuse 3A 125V MRL 04510
12,673,1808 Fuse 5A,1808 SMD Fast Acting Fuse SMD Fuse 5A 125V MRL 04510
13,672,1808 Fuse Holder,1808 SMD Fast Acting Fuse SMD MRL 04510 Holder
14,349,20A/25mA Micro Current Transformer YHDC SCT-006 – 6mm Opening,20A/25mA Micro Current Transformer YHDC SCT-006 – 6mm Opening
15,667,2N7002,2N7002 N-channel SMD MOSFET
16,666,2N7002K,2N7002K N-channel SMD MOSFET
17,388,3030 Aluminum Profile with Slot Groove 8mm M5,3030 Aluminum Profile with Slot Groove 8mm M5
18,387,3030 Aluminum Profile with Slot Groove 8mm M6,3030 Aluminum Profile with Slot Groove 8mm M6
19,463,38x38 Camera module 5.0M GK7205V300 SONY IMX335,DIY HD H.265 5.0M GK7205V300 SONY IMX335 CMOS IVG-G5S G6S AI IP Camera Module IP HD Security Surveillance Camera
20,446,38x38 Camera Module 5MP,38x38 Camera Module 5MP
21,464,38x38 Camera module 5MP GK7205V300+IMX335 Wifi wireless,Camhi Camhipro Wifi wireless 5MP GK7205V300+IMX335 IP CAMERA motherboard SD card
22,456,38x38 Camera module 5Mp Sony Imx335 Hisilicon Hi3516Ev300 - 1.7mm,38x38 Camera module 5Mp Sony Imx335 Hisilicon Hi3516Ev300
23,447,38x38 Camera Module 6MP,38x38 Camera Module 6MP
24,292,3W DC12V 24V LED Light Flexible,3W DC12V 24V LED CNC Machine Tool Light Flexible L40cm gooseneck led Workshop Working Lamp Silver Black magnetic industrial lamp
25,669,3x3x1.5mm tacticle button switch,Tact Switch Micro Switch SMD 4pin Foot 3X3X1.5MM Key Light
26,670,3x6x2.5mm tacticle button switch red,Tact Switch Micro Switch 2Pin 3*6*2.5mm Red Button SMD
27,671,3x6x2.5mm tacticle button switch white,Tact Switch Micro Switch 2Pin 3*6*2.5mm White Button SMD
28,385,40 Series M5 T-Nut For 4040 Aluminum profile,40 Series M5 T-Nut For 4040 Aluminum profile
29,386,40 Series M6 T-Nut For 4040 Aluminum profile,40 Series M6 T-Nut For 4040 Aluminum profile
30,472,800pcs (2mm) Phillips Screws Assortment Kit M2*4/5/6/8/10/12/16/20mm - 800PCS KA,800pcs (2mm) Phillips Screws Assortment Kit M2*4/5/6/8/10/12/16/20mm - 800PCS KA
31,470,800pcs (2mm) Phillips Screws Assortment Kit M2*4/5/6/8/10/12/16/20mm - 800PCS KA Black,800pcs (2mm) Phillips Screws Assortment Kit M2*4/5/6/8/10/12/16/20mm - 800PCS KA Black
