name,description,active,assembly,component,purchaseable,notes,minimum_stock,parameters,attachments,existing_image,supplier_pk,supplier_part_number,supplier_link,supplier_pack_quantity
dado-M2x3x3.2-ip-ot,dado-M2x3x3.2-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,100
dado-M2x4x3.2-ip-ot,dado-M2x4x3.2-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,100
dado-M2x5x3.2-ip-ot,dado-M2x5x3.2-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,100
dado-M2x6x3.2-ip-ot,dado-M2x6x3.2-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,100
dado-M2.5x4x3.5-ip-ot,dado-M2.5x4x3.5-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,100
dado-M2.5x5x3.5-ip-ot,dado-M2.5x5x3.5-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,100
dado-M3x3x4.2-ip-ot,dado-M3x3x4.2-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,50
dado-M3x3x5-ip-ot,dado-M3x3x5-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,50
dado-M3x4x4.5-ip-ot,dado-M3x4x4.5-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,50
dado-M3x4x5-ip-ot,dado-M3x4x5-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,50
dado-M3x5x5-ip-ot,dado-M3x5x5-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,50
dado-M4x4x6-ip-ot,dado-M4x4x6-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,20
dado-M4x5x6-ip-ot,dado-M4x5x6-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,20
dado-M4x6x6-ip-ot,dado-M4x6x6-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,20
dado-M5x6x6-ip-ot,dado-M5x6x6-ip-ot,TRUE,FALSE,TRUE,TRUE,brass insert kit 930 pcs,1,TRUE,bi_specs.png,brass_insert.png,24,1,https://www.aliexpress.com/item/1005005511428418.html,20
