part name,part pk,electronic_led_colors%56%18%False,electronic_led_wavelenght%57%False%False,electronic_led_max_current%58%False%False,electronic_led_forward_voltage%59%False%False,electronic_package%11%15%False,Part of Kit%22%False%True,electronic_mounting%51%17%False
L_BLUE_20mA_3.1V_805_sm,676,BLUE,000,20mA,3.1,805,FALSE,sm
L_BLUE_20mA_3.2V_LED3mm_th,1493,BLUE,000,20mA,3.2,LED3mm,TRUE,th
L_BLUE_30mA_3.2V_LED5mm_th,1498,BLUE,000,30mA,3.2,LED5mm,TRUE,th
L_GREEN_20mA_2.2V_LED3mm_th,1491,GREEN,000,20mA,2.2,LED3mm,TRUE,th
L_GREEN_30mA_2.2V_LED5mm_th,1496,GREEN,000,30mA,2.2,LED5mm,TRUE,th
L_RED_20mA_2.1V_805_sm,950,RED,000,20mA,2.1,805,FALSE,sm
L_RED_20mA_2V_LED3mm_th,1490,RED,000,20mA,2,LED3mm,TRUE,th
L_RED_30mA_2V_LED5mm_th,1495,RED,000,30mA,2,LED5mm,TRUE,th
L_WHITE_20mA_3.2V_LED3mm_th,1494,WHITE,000,20mA,3.2,LED3mm,TRUE,th
L_WHITE_30mA_3.2V_LED5mm_th,1499,WHITE,000,30mA,3.2,LED5mm,TRUE,th
L_YELLOW_20mA_2.1V_805_sm,952,YELLOW,000,20mA,2.1,805,FALSE,sm
L_YELLOW_20mA_2.1V_LED3mm_th,1492,YELLOW,000,20mA,2.1,LED3mm,TRUE,th
L_YELLOW_30mA_2.1V_LED5mm_th,1497,YELLOW,000,30mA,2.1,LED5mm,TRUE,th
L_YELLOWGREEN_20mA_2.1V_805_sm,951,YELLOWGREEN,000,20mA,2.1,805,FALSE,sm
