part name,part pk,electronic_mounting%51%17%False,electronic_code%15%False%False,Part of Kit%22%False%True,electronic_package%11%15%False,electronic_resistance%21%False%False
R_100kOhm_805_sm,859,sm,R_100kOhm_805_sm,FALSE,805,100k
R_100ROhm_805_sm,906,sm,R_100ROhm_805_sm,FALSE,805,100R
R_10kOhm_805_sm,843,sm,R_10KOhm_805_sm,FALSE,805,10k
R_10kOhm_AXIAL_th,1030,th,R_10kOhm_AXIAL_th,FALSE,AXIAL,10k
R_10ROhm_805_sm,889,sm,R_10ROhm_805_sm,FALSE,805,10R
R_120kOhm_805_sm,860,sm,R_120KOhm_805_sm,FALSE,805,120k
R_120ROhm_805_sm,907,sm,R_120ROhm_805_sm,FALSE,805,120R
R_12kOhm_805_sm,844,sm,R_12KOhm_805_sm,FALSE,805,12k
R_1.2kOhm_805_sm,924,sm,R_1.2KOhm_805_sm,FALSE,805,1.2k
R_12ROhm_805_sm,890,sm,R_12ROhm_805_sm,FALSE,805,12R
R_1.2ROhm_805_sm,881,sm,R_1.2ROhm_805_sm,FALSE,805,1.2R
R_150kOhm_805_sm,861,sm,R_150KOhm_805_sm,FALSE,805,150k
R_150ROhm_805_sm,908,sm,R_150ROhm_805_sm,FALSE,805,150R
R_150ROhm_AXIAL_th,1023,th,R_150Ohm_AXIAL_th,FALSE,AXIAL,150R
R_15kOhm_805_sm,845,sm,R_15KOhm_805_sm,FALSE,805,15k
R_1.5kOhm_805_sm,925,sm,R_1.5KOhm_805_sm,FALSE,805,1.5k
R_1.5MOhm_805_sm,876,sm,R_1.5MOhm_805_sm,FALSE,805,1.5M
R_15ROhm_805_sm,891,sm,R_15ROhm_805_sm,FALSE,805,15R
R_1.5ROhm_805_sm,882,sm,R_1.5ROhm_805_sm,FALSE,805,1.5R
R_18kOhm_805_sm,846,sm,R_18KOhm_805_sm,FALSE,805,18k
R_18ROhm_805_sm,892,sm,R_18ROhm_805_sm,FALSE,805,18R
R_1kOhm_805_sm,923,sm,R_1KOhm_805_sm,FALSE,805,1k
R_1kOhm_AXIAL_th,1026,th,R_1kOhm_AXIAL_th,FALSE,AXIAL,1k
R_1MOhm_805_sm,875,sm,R_1MOhm_805_sm,FALSE,805,1M
R_1ROhm_805_sm,880,sm,R_1ROhm_805_sm,FALSE,805,1R
R_200kOhm_805_sm,862,sm,R_200KOhm_805_sm,FALSE,805,200k
R_200ROhm_805_sm,909,sm,R_200ROhm_805_sm,FALSE,805,200R
R_20ROhm_805_sm,893,sm,R_20ROhm_805_sm,FALSE,805,20R
