part name,part pk,electronic_mounting%51%17%False,electronic_voltage%16%False%False,electronic_cap_polarized%14%False%True,Part of Kit%22%False%True,electronic_cap_capacitance%12%False%False,electronic_package%11%15%False,electronic_size%52%False%False,electronic_code%15%False%False,electronic_cap_type%50%16%False
C_0.15uF_50V_cmsv_th,1420,th,50,False,True,0.15uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsv
C_0.1uF_50V_cmsv_th,1419,th,50,False,True,0.1uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsv
C_0.1uF_50V_essv_th,1402,th,50,True,True,0.1uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_0.22uF_50V_cmsv_th,1421,th,50,False,True,0.22uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsv
C_0.22uF_50V_essv_th,1403,th,50,True,True,0.22uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_0.33uF_50V_cmsv_th,1422,th,50,False,True,0.33uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsv
C_0.47uF_50V_cmsv_th,1423,th,50,False,True,0.47uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsv
C_0.47uF_50V_essv_th,1404,th,50,True,True,0.47uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_0.68uF_50V_cmsv_th,1424,th,50,False,True,0.68uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsv
C_100000pF_50V_cssv_th,1487,th,50,False,True,100000pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_10000pF_50V_cssv_th,1483,th,50,False,True,10000pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_1000pF_50V_cssv_th,1477,th,50,False,True,1000pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_1000uF_35V_essv_th,184,th,35,True,True,1000uF,RAD,(diameterxheight) or (lenghtxwidthxheight),Aluminium Electrolytic Capacitors - Radial Leaded,essv
C_100nF_50V_cmsh_sm,192,sm,50,False,True,100nF,SMD_805,(diameterxheight) or (lenghtxwidthxheight),0805 SMD Chip Multilayer Ceramic Capacitor,cmsh
C_100nF_50V_cmsv_th,1061,th,50,False,True,100nF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsv
C_100pF_50V_cssv_th,1472,th,50,False,True,100pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_100uF_16V_essv_th,1414,th,16,True,True,100uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_100uF_25V_essv_th,1413,th,25,True,True,100uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
C_10pF_50V_cssv_th,1466,th,50,False,True,10pF,CD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cssv
C_10uF_10V_etsv_th,932,th,10,True,True,10uF,SMD_1206,(diameterxheight) or (lenghtxwidthxheight),Type A 10V10UF 106A 3216 SMD Tantalum Capacitor 106A Tantalum Electrolytic Capacitor,etsv
C_10uF_16V_cmsh_sm,678,sm,16,False,True,10uF,SMD_805,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,cmsh
C_10uF_25V_essv_th,1409,th,25,True,True,10uF,RAD,(diameterxheight) or (lenghtxwidthxheight),electronic_code_placeholder,essv
