pk,name,description,active,assembly,component,purchaseable,notes,minimum_stock,parameters,attachments,image,supplier_pk,supplier_part_number,supplier_link,supplier_pack_quantity
1260,dado-M3x5x13-4p-zi,dado-M3x5x13-4p-zi,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.16-9235223.jpg,,,,
1222,dado-M3x3.2x4.2-ip-ot,dado-M3x3.2x4.2-ip-ot,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.14-145946432.jpg,,,,
1215,dado-M3x2.3x5.5-st-ix,dado-M3x2.3x5.5-st-ix,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/Screenshot_2025-02-14_081700.png,,,,
1330,dado-M3x2.3x5.5-st-ny,dado-M3x2.3x5.5-st-ny,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.23-112732949.jpg,,,,
1300,dado-M3x2.3x5.5-st-zi,dado-M3x2.3x5.5-st-zi,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/Screenshot_2025-02-14_081700.png,,,,
1244,dado-M3x8x6-le-zi,dado-M3x8x6-le-zi,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.15-6413668.jpg,,,,
1261,dado-M4x6x15-4p-zi,dado-M4x6x15-4p-zi,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.16-9526198.jpg,,,,
1223,dado M4x5x6.8-ab-zi,dado M4x5x6.8-ab-zi,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.14-151220831.jpg,,,,
1221,dado M4x2.9x6.9-st-ix,dado M4x2.9x6.9-st-ix,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.14-145026672.jpg,,,,
1220,dado M4x2.9x6.9-st-zi,dado M4x2.9x6.9-st-zi,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.14-145141904.jpg,,,,
1245,dado-M4x12x8-le-zi,dado-M4x12x8-le-zi,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.15-7151137.jpg,,,,
1262,dado-M6x9x19-4p-zi,dado-M6x9x19-4p-zi,TRUE,FALSE,TRUE,TRUE,,0,,,/media/part_images/USB_CAMERA_-2.16-9718166.jpg,,,,
